unit_id,category,name,description,monthly_fee,material_fee,schedule,image_url
sede,Educação Infantil,Maternal,"Crianças de 2 a 3 anos. Estimulação sensorial e psicomotricidade.",1200,300,Seg-Sex: 07h30-11h30,
sede,Educação Infantil,Jardim I,"Crianças de 3 a 4 anos. Iniciação à linguagem oral.",1250,320,Seg-Sex: 07h30-11h30,
sede,Educação Infantil,Jardim II,"Crianças de 4 a 5 anos. Preparação para alfabetização.",1300,340,Seg-Sex: 07h30-11h30,
sede,Ensino Fundamental — Anos Iniciais,1º Ano,Alfabetização e letramento Poliedro.,1400,380,Seg-Sex: 07h-12h,
sede,Ensino Fundamental — Anos Iniciais,5º Ano,Conclusão dos anos iniciais.,1500,400,Seg-Sex: 07h-12h,
sede,Ensino Fundamental — Anos Finais,6º Ano,Professores especialistas. Inglês e robótica.,1600,450,Seg-Sex: 07h-12h30,
sede,Ensino Médio,1ª Série EM,Sistema Poliedro. Simulados mensais.,1700,500,Seg-Sex: 07h-12h30,
sede,Pré-Vestibular (Eixo),Eixo Pré-Vestibular,Preparatório intensivo ENEM e vestibulares. Turno integral.,1900,550,Seg-Sex: 07h-17h,
sede,Escolinhas de Esporte,Futsal,Iniciação esportiva.,350,0,Ter/Qui: 14h-15h30,
sede,Cursos Específicos,Inglês,Do básico ao avançado com professores bilíngues.,280,120,Seg/Qua: 12h-13h,
augusto-montenegro,Educação Infantil,Maternal,"Crianças de 2 a 3 anos.",1150,290,Seg-Sex: 07h30-11h30,
augusto-montenegro,Ensino Fundamental — Anos Iniciais,1º Ano,Alfabetização.,1350,370,Seg-Sex: 07h-12h,
augusto-montenegro,Ensino Médio,1ª Série EM,Sistema Poliedro.,1650,490,Seg-Sex: 07h-12h30,
cidade-nova,Educação Infantil,Maternal,"Crianças de 2 a 3 anos.",1100,280,Seg-Sex: 07h30-11h30,
cidade-nova,Ensino Fundamental — Anos Iniciais,1º Ano,Alfabetização.,1300,360,Seg-Sex: 07h-12h,
cidade-nova,Ensino Médio,1ª Série EM,Sistema Poliedro.,1600,480,Seg-Sex: 07h-12h30,
